Date,Open,High,Low,Close*,Adj Close**,Volume,Risk,Variance,Total Return,Year,StdDev,Month
01/12/2020,3645.87,3760.2,3633.4,3756.07,3756.07,96375680000,325.703496,106082.7673,1.126206169,2020,325,12
31/10/2020,3296.2,3645.99,3279.74,3621.63,3621.63,1.01E+11,278.5451784,77587.41642,-3.579273017,2020,325,10
30/09/2020,3385.87,3549.85,3233.94,3269.96,3269.96,89938980000,240.1020584,57648.99844,-9.710268581,2020,325,9
31/08/2020,3507.44,3588.11,3209.45,3363,3363,92310780000,237.4193469,56367.94626,2.845294744,2020,325,8
31/07/2020,3288.26,3514.77,3284.53,3500.31,3500.31,82466520000,226.4885312,51297.05475,4.082961641,2020,325,7
30/06/2020,3105.92,3279.99,3101.17,3271.12,3271.12,96928130000,187.2146308,35049.318,-6.547705775,2020,325,6
31/05/2020,3038.78,3233.13,2965.66,3100.29,3100.29,1.31E+11,171.8884925,29545.65385,-5.22237032,2020,325,5
30/04/2020,2869.09,3068.67,2766.64,3044.31,3044.31,1.07E+11,170.3634169,29023.69383,-1.805637537,2020,325,4
31/03/2020,2498.08,2954.86,2447.49,2912.43,2912.43,1.24E+11,183.2776524,33590.69786,-4.332016122,2020,325,3
01/03/2020,2974.28,3136.72,2191.86,2584.59,2584.59,1.62E+11,182.5436167,33322.17198,-11.25657956,2020,325,3
01/02/2020,3235.66,3393.52,2855.84,2954.22,2954.22,84436590000,144.2289106,20801.97866,14.30130117,2020,325,2
01/01/2020,3244.67,3337.77,3214.64,3225.52,3225.52,77287980000,156.4555634,24478.34332,9.183473133,2020,325,1
01/12/2019,3143.85,3247.93,3070.33,3230.78,3230.78,72325540000,154.8958091,23992.71169,0.163074481,2019,155,12
31/10/2019,3050.72,3154.26,3050.72,3140.98,3140.98,72410620000,170.6569217,29123.78494,-2.779514544,2019,155,10
30/09/2019,2983.69,3050.1,2855.94,3037.56,3037.56,77720640000,151.5746887,22974.88625,-3.292602946,2019,155,9
31/08/2019,2909.01,3021.99,2891.85,2976.74,2976.74,74178980000,143.0646843,20467.50389,-2.002264976,2019,155,8
31/07/2019,2980.32,3013.59,2822.12,2926.46,2926.46,80269220000,137.8147675,18992.91014,-1.689096125,2019,155,7
30/06/2019,2971.41,3027.98,2952.22,2980.38,2980.38,70599470000,136.1345094,18532.60465,1.842499129,2019,155,6
31/05/2019,2751.53,2964.15,2728.81,2941.76,2941.76,71250630000,125.4438143,15736.15055,-1.295807917,2019,155,5
30/04/2019,2952.33,2954.13,2750.52,2752.06,2752.06,77250740000,118.5167588,14046.22213,-6.448520614,2019,155,4
31/03/2019,2848.63,2949.52,2848.63,2945.83,2945.83,70090370000,120.2461066,14459.12615,7.040907538,2019,155,3
01/03/2019,2798.22,2860.31,2722.27,2834.4,2834.4,79159660000,112.3079277,12613.07063,-3.782635115,2019,155,3
01/02/2019,2702.32,2813.49,2681.83,2784.49,2784.49,70638770000,113.0475814,12779.75567,-1.760866497,2019,155,2
01/01/2019,2476.96,2708.95,2443.96,2704.1,2704.1,80859870000,112.0318158,12551.12775,-2.887063699,2019,155,1
01/12/2018,2790.5,2800.18,2346.58,2506.85,2506.85,84162180000,114.9608581,13215.9989,-7.294478754,2018,115,12
31/10/2018,2717.58,2815.15,2631.09,2760.17,2760.17,80620020000,92.26558061,8512.937366,10.10511199,2018,115,10
30/09/2018,2926.29,2939.86,2603.54,2711.74,2711.74,91930980000,96.99512078,9408.053455,-1.754602072,2018,115,9
31/08/2018,2896.96,2940.91,2864.12,2913.98,2913.98,63031510000,108.3224601,11733.75537,7.457942133,2018,115,8
31/07/2018,2821.17,2916.5,2796.34,2901.52,2901.52,69523070000,107.7993078,11620.69076,-0.427593875,2018,115,7
30/06/2018,2704.95,2848.03,2698.95,2816.29,2816.29,64898300000,105.6593051,11163.88875,-2.937425901,2018,115,6
31/05/2018,2718.7,2791.47,2691.99,2718.37,2718.37,77891360000,107.172025,11485.84293,-3.476914664,2018,115,5
30/04/2018,2642.96,2742.24,2594.62,2705.27,2705.27,76011820000,119.2102956,14211.09457,-0.481906437,2018,115,4
31/03/2018,2633.45,2717.49,2553.8,2648.05,2648.05,70194700000,127.5679756,16273.58839,-2.115130837,2018,115,3
01/03/2018,2715.22,2801.9,2585.89,2640.87,2640.87,76803890000,138.016053,19048.43088,-0.271142916,2018,115,3
01/02/2018,2816.45,2835.96,2532.69,2713.83,2713.83,79933970000,146.820534,21556.26921,2.76272592,2018,115,2
01/01/2018,2683.73,2872.87,2682.36,2823.81,2823.81,77318690000,143.8564186,20694.66916,4.052575143,2018,115,1
01/12/2017,2645.1,2694.97,2605.52,2673.61,2673.61,65531700000,120.040043,14409.61193,-5.319054752,2017,120,12
31/10/2017,2583.21,2657.74,2557.45,2647.58,2647.58,73416960000,116.9932306,13687.416,-0.973590015,2017,120,10
30/09/2017,2521.2,2582.98,2520.4,2575.26,2575.26,71088550000,112.3956071,12632.7725,-2.731551077,2017,120,9
31/08/2017,2474.42,2519.44,2446.55,2519.36,2519.36,66624120000,120.1736207,14441.69912,-2.170654614,2017,120,8
31/07/2017,2477.1,2490.87,2417.35,2471.65,2471.65,70784900000,119.0264272,14167.29037,-1.893734917,2017,120,7
30/06/2017,2431.39,2484.04,2407.7,2470.3,2470.3,63348090000,116.9547992,13678.42506,-0.054619384,2017,120,6
31/05/2017,2415.65,2453.82,2405.7,2423.41,2423.41,81078810000,108.7115724,11818.20597,-1.898150022,2017,120,5
30/04/2017,2388.5,2418.71,2352.72,2411.8,2411.8,79719460000,108.8326182,11844.53878,-0.479077003,2017,120,4
31/03/2017,2362.34,2398.16,2328.95,2384.2,2384.2,65369860000,103.595123,10731.94952,-1.144373497,2017,120,3
01/03/2017,2380.13,2400.98,2322.25,2362.72,2362.72,81664010000,98.95290647,9791.677699,-0.90093113,2017,120,3
01/02/2017,2285.59,2371.54,2271.65,2363.64,2363.64,69260940000,90.64062356,8215.722639,0.038938173,2017,120,2
01/01/2017,2251.57,2300.99,2245.13,2278.87,2278.87,70576420000,92.39213183,8536.306024,-3.586417559,2017,120,1
01/12/2016,2200.17,2277.53,2187.44,2238.83,2238.83,75344550000,95.78894225,9175.521457,-1.75701115,2016,96,12
31/10/2016,2128.68,2214.1,2083.79,2198.81,2198.81,88445380000,87.33735932,7627.814333,-1.787540814,2016,96,10
30/09/2016,2164.33,2169.6,2114.72,2126.15,2126.15,72915530000,80.27918274,6444.747182,-3.304514715,2016,96,9
31/08/2016,2171.33,2187.87,2119.12,2168.27,2168.27,77023620000,78.94426209,6232.196517,1.981045552,2016,96,8
31/07/2016,2173.15,2193.81,2147.58,2170.95,2170.95,75610310000,84.82218776,7194.803536,0.123600843,2016,96,7
30/06/2016,2099.34,2177.09,2074.02,2173.6,2173.6,69530250000,79.38311362,6301.678727,0.122066376,2016,96,6
31/05/2016,2093.94,2120.55,1991.68,2098.86,2098.86,86852700000,70.67209805,4994.545442,-3.438535149,2016,96,5
30/04/2016,2067.17,2103.48,2025.91,2096.95,2096.95,78883600000,68.34748704,4671.378984,-0.091001782,2016,96,4
31/03/2016,2056.62,2111.05,2033.8,2065.3,2065.3,81124990000,69.33950824,4807.967402,-1.509334987,2016,96,3
01/03/2016,1937.09,2072.21,1937.09,2059.74,2059.74,92639420000,70.49352167,4969.336597,-0.269210284,2016,96,3
01/02/2016,1936.94,1962.96,1810.1,1932.23,1932.23,93049560000,70.82009582,5015.485972,-6.190587161,2016,96,2
01/01/2016,2038.2,2038.2,1812.29,1940.24,1940.24,92409770000,65.81737189,4331.926442,0.414546922,2016,96,1
01/12/2015,2082.93,2104.27,1993.26,2043.94,2043.94,83649260000,59.29018506,3515.326045,5.344699625,2015,59,12
31/10/2015,2080.76,2116.48,2019.39,2080.41,2080.41,75943590000,59.26420205,3512.245645,1.784298952,2015,59,10
30/09/2015,1919.65,2094.32,1893.7,2079.36,2079.36,85844900000,58.84196578,3462.376936,-0.050470821,2015,59,9
31/08/2015,1970.09,2020.86,1871.91,1920.03,1920.03,79989370000,58.92199103,3471.801027,-7.662453832,2015,59,8
31/07/2015,2104.49,2112.66,1867.01,1972.18,1972.18,84626790000,49.92982138,2492.987063,2.716103394,2015,59,7
